Objeto;Classe;n_contorno;Área;Diâmetro;Minor;Diretorio;Imagem
;;1;60,0;9,390955554120035;1,951910290085594;.\augmentedDataset\exp_transform;0096.png
;;2;54,5;16,05277862402831;1,795410384268644;.\augmentedDataset\exp_transform;0096.png
;;1;14,0;12,19200534170128;2,261637846324536;.\augmentedDataset\exp_transform;0098.png
;;1;39,0;5,545131758410893;1,302289609229592;.\augmentedDataset\exp_transform;0101.png
;;2;32,5;2,529822128134704;2,529822128134704;.\augmentedDataset\exp_transform;0101.png
;;2;17,0;4,363338213437162;1,65500979239906;.\augmentedDataset\exp_transform;0118.png
;;1;1142,0;3,098386676965933;1,788854381999832;.\augmentedDataset\exp_transform;0119.png
;;1;4635,0;14,50670539538589;9,899153950313178;.\augmentedDataset\exp_transform;0160.png
;;2;4380,0;5,364197441180124;3,470117050280702;.\augmentedDataset\exp_transform;0160.png
;;0;273,5;5,670233719167884;2,047957172979267;.\augmentedDataset\exp_transform;0267.png
;;1;36,5;5,274258481434536;1,946056459258261;.\augmentedDataset\exp_transform;0268.png
;;2;9,0;22,732200493481287;4,278997111441487;.\augmentedDataset\exp_transform;0268.png
;;1;18,5;3,098386676965933;1,788854381999832;.\augmentedDataset\exp_transform;0284.png
;;1;191,0;2,0;2,0;.\augmentedDataset\exp_transform;0285.png
;;0;5,0;3,098386676965933;1,788854381999832;.\augmentedDataset\exp_transform;0287.png
;;0;7,0;5,133805351608394;1,542315301534688;.\augmentedDataset\exp_transform;0300.png
;;1;1,0;5,481304866996842;1,615041231525229;.\augmentedDataset\exp_transform;0300.png
;;1;3,5;3,829708431025352;1,885618083164127;.\augmentedDataset\exp_transform;0309.png
;;0;13,5;5,720932084886622;2,425387871670981;.\augmentedDataset\exp_transform;0328.png
;;0;180,5;6,825641401682367;4,696233638283426;.\augmentedDataset\exp_transform;0330.png
;;0;44231,0;6,011486661777879;1,280549059210314;.\augmentedDataset\exp_transform;0343.png
;;1;12811,5;4,0;1,632993161855452;.\augmentedDataset\exp_transform;0343.png
;;2;5747,0;4,363338213437162;1,65500979239906;.\augmentedDataset\exp_transform;0343.png
;;1;56,5;3,098386676965933;1,788854381999832;.\augmentedDataset\exp_transform;0376.png
;;2;55,5;3,651483716701108;2,10818510677892;.\augmentedDataset\exp_transform;0376.png
;;0;19,5;6,634722320091395;2,468110784870113;.\augmentedDataset\exp_transform;0378.png
;;0;67,0;7,81909407898575;3,065067659332876;.\augmentedDataset\exp_transform;0381.png
;;1;63,0;7,637552085649442;2,846714649936208;.\augmentedDataset\exp_transform;0381.png
;;2;27,5;9,428090415820634;3,586286944269689;.\augmentedDataset\exp_transform;0381.png
;;1;3,5;3,098386676965933;1,788854381999832;.\augmentedDataset\exp_transform;0398.png
;;0;0,5;6,124860850357414;2,210447819732249;.\augmentedDataset\exp_transform;0413.png
;;0;29,5;6,040895836088439;1,872852769848542;.\augmentedDataset\exp_transform;0414.png
;;1;22,5;7,684505543720393;1,997091522322038;.\augmentedDataset\exp_transform;0414.png
;;0;2,5;3,23606797749979;1,23606797749979;.\augmentedDataset\exp_transform;0416.png
;;0;34,0;8,137298831265829;2,247147937526314;.\augmentedDataset\exp_transform;0427.png
;;1;15,5;7,741101153300494;2,491723553627709;.\augmentedDataset\exp_transform;0427.png
;;2;3,5;12,372495067585522;2,886037699478259;.\augmentedDataset\exp_transform;0439.png
;;0;919,0;3,098386676965933;1,788854381999832;.\augmentedDataset\exp_transform;0456.png
;;1;110,0;5,685009884989297;2,344961497712873;.\augmentedDataset\exp_transform;0472.png
;;0;3025,0;7,118052168020874;1,972026594366538;.\augmentedDataset\exp_transform;0474.png
;;2;45,0;4,199929796800163;1,166443184192932;.\augmentedDataset\exp_transform;0516.png
;;2;411,0;5,133805351608394;1,542315301534688;.\augmentedDataset\exp_transform;0557.png
;;0;861,0;14,152730592269702;3,668013893288554;.\augmentedDataset\exp_transform;0558.png
;;1;530,0;3,265986323710904;2,0;.\augmentedDataset\exp_transform;0558.png
;;0;2769,0;4,47213595499958;2,0;.\augmentedDataset\exp_transform;0598.png
;;1;678,0;8,958892953677347;2,356137906294479;.\augmentedDataset\exp_transform;0598.png
;;2;436,0;14,536966664355909;3,689089089148426;.\augmentedDataset\exp_transform;0598.png
