Objeto;Classe;n_contorno;Área;Diâmetro;Minor;Diretorio;Imagem
;;1;9781,0;15,089482599757153;2,644231328017762;.\augmentedDataset\laplacian_img;0008.png
;;2;6126,0;17,094161220959908;4,48302172087518;.\augmentedDataset\laplacian_img;0008.png
;;0;4988,5;8,110167299029898;3,108068440179125;.\augmentedDataset\laplacian_img;0013.png
;;1;2202,5;4,976979969245306;1,79712837207891;.\augmentedDataset\laplacian_img;0013.png
;;2;1841,0;8,985998786982211;4,804729524162023;.\augmentedDataset\laplacian_img;0013.png
;;0;8616,5;8,967606589540484;2,635403926258371;.\augmentedDataset\laplacian_img;0018.png
;;2;1400,0;8,0;2,0;.\augmentedDataset\laplacian_img;0018.png
;;0;7875,5;4,155374705678736;1,905471133100374;.\augmentedDataset\laplacian_img;0021.png
;;1;7498,5;8,49372773570204;1,921802238952664;.\augmentedDataset\laplacian_img;0021.png
;;2;4055,5;10,16979087808286;3,084310562104707;.\augmentedDataset\laplacian_img;0021.png
;;0;10376,0;3,098386676965933;1,788854381999832;.\augmentedDataset\laplacian_img;0031.png
;;1;9578,0;10,437578658311509;2,891800011604486;.\augmentedDataset\laplacian_img;0031.png
;;1;14231,5;4,0;2,213133340689953;.\augmentedDataset\laplacian_img;0064.png
;;2;3317,0;2,0;2,0;.\augmentedDataset\laplacian_img;0064.png
;;0;7302,5;27,021037901582748;2,728579002757613;.\augmentedDataset\laplacian_img;0069.png
;;1;4488,5;14,981309499714872;2,06850239489463;.\augmentedDataset\laplacian_img;0069.png
;;2;708,0;6,662054276622894;3,17088833220765;.\augmentedDataset\laplacian_img;0069.png
;;1;1645,5;12,72305967940886;10,371821502220106;.\augmentedDataset\laplacian_img;0076.png
;;2;1472,0;19,92989043273598;10,17130498607342;.\augmentedDataset\laplacian_img;0076.png
;;0;8220,0;6,471851711259051;5,13056993756256;.\augmentedDataset\laplacian_img;0090.png
;;0;7954,0;6,040895836088439;1,872852769848542;.\augmentedDataset\laplacian_img;0097.png
;;2;3572,0;4,12040455632135;2,40255411848438;.\augmentedDataset\laplacian_img;0097.png
;;0;7471,0;4,898979485566356;1,936491673103709;.\augmentedDataset\laplacian_img;0100.png
;;2;2893,5;6,174090510805533;2,291834896066327;.\augmentedDataset\laplacian_img;0100.png
;;0;8857,0;7,097764472921568;3,093922554118484;.\augmentedDataset\laplacian_img;0103.png
;;1;3838,0;7,924341817295026;2,103269282310747;.\augmentedDataset\laplacian_img;0103.png
;;2;1581,5;10,635214221465338;9,544690008189386;.\augmentedDataset\laplacian_img;0103.png
;;1;9644,5;2,309401076758503;1,333333333333333;.\augmentedDataset\laplacian_img;0106.png
;;2;5206,0;8,150049730330068;1,831520453318654;.\augmentedDataset\laplacian_img;0106.png
;;0;8822,0;15,929663406417882;5,552123077869516;.\augmentedDataset\laplacian_img;0118.png
;;1;3738,0;4,381780460041329;2,683281572999748;.\augmentedDataset\laplacian_img;0120.png
;;2;2707,5;12,05348949329016;9,892483666505433;.\augmentedDataset\laplacian_img;0120.png
;;0;75,5;4,34169545110285;1,27658944452507;.\augmentedDataset\laplacian_img;0249.png
;;0;6102,5;9,776669097053473;8,73193800749408;.\augmentedDataset\laplacian_img;0251.png
;;2;119,5;4,743365517193277;1,349252967497849;.\augmentedDataset\laplacian_img;0251.png
;;2;127,5;5,404236119112784;1,208676398190789;.\augmentedDataset\laplacian_img;0252.png
;;1;117,0;3,464101615137754;1,414213562373095;.\augmentedDataset\laplacian_img;0254.png
;;0;4345,5;9,700405494933738;5,377679264508217;.\augmentedDataset\laplacian_img;0257.png
;;2;122,0;8,86121120219399;7,274403931528504;.\augmentedDataset\laplacian_img;0257.png
;;1;57,5;4,680205767201096;1,046744465787899;.\augmentedDataset\laplacian_img;0258.png
;;2;57,0;9,231786487066444;8,642335511662296;.\augmentedDataset\laplacian_img;0258.png
;;1;106,0;2,309401076758503;1,333333333333333;.\augmentedDataset\laplacian_img;0262.png
;;2;42,5;8,831760866327848;8,0;.\augmentedDataset\laplacian_img;0265.png
;;2;104,5;3,829708431025352;1,885618083164127;.\augmentedDataset\laplacian_img;0270.png
;;0;78,0;4,155374705678736;1,905471133100374;.\augmentedDataset\laplacian_img;0277.png
;;0;25,5;2,309401076758503;1,333333333333333;.\augmentedDataset\laplacian_img;0284.png
;;1;24,0;3,836665218650176;1,788854381999832;.\augmentedDataset\laplacian_img;0284.png
;;0;63,0;7,97111123426494;2,285107496265257;.\augmentedDataset\laplacian_img;0289.png
;;0;187,5;9,10056922971979;7,397951446769547;.\augmentedDataset\laplacian_img;0296.png
;;1;105,5;2,309401076758503;1,333333333333333;.\augmentedDataset\laplacian_img;0296.png
;;0;104,0;9,211247838937892;8,76820649309867;.\augmentedDataset\laplacian_img;0305.png
;;2;44,0;3,464101615137754;1,414213562373095;.\augmentedDataset\laplacian_img;0305.png
;;1;59,0;9,121858709391244;8,312091353021353;.\augmentedDataset\laplacian_img;0310.png
;;2;71,5;6,334508034330661;1,725122830214369;.\augmentedDataset\laplacian_img;0314.png
;;1;117,5;5,485458865381723;2,649689066157795;.\augmentedDataset\laplacian_img;0316.png
;;2;99,5;9,662605932873646;4,127232315486371;.\augmentedDataset\laplacian_img;0316.png
;;0;157,0;7,137791488319986;2,737951262113919;.\augmentedDataset\laplacian_img;0317.png
;;0;92,5;3,098386676965933;1,788854381999832;.\augmentedDataset\laplacian_img;0325.png
;;2;26,5;3,464101615137754;1,414213562373095;.\augmentedDataset\laplacian_img;0326.png
;;0;149,5;4,363338213437162;1,65500979239906;.\augmentedDataset\laplacian_img;0331.png
;;2;51,5;4,796702691401646;1,764679084109074;.\augmentedDataset\laplacian_img;0331.png
;;0;109,0;3,098386676965933;1,788854381999832;.\augmentedDataset\laplacian_img;0347.png
;;2;55,0;4,34169545110285;1,27658944452507;.\augmentedDataset\laplacian_img;0347.png
;;0;57,0;7,748740364588015;2,201343147056655;.\augmentedDataset\laplacian_img;0349.png
;;1;55,5;5,394569746911582;1,272248892986869;.\augmentedDataset\laplacian_img;0349.png
;;2;43,5;6,468355765954826;2,247056424286635;.\augmentedDataset\laplacian_img;0349.png
;;0;102,0;6,110100926607786;2,309401076758503;.\augmentedDataset\laplacian_img;0352.png
;;0;851,5;3,23606797749979;1,23606797749979;.\augmentedDataset\laplacian_img;0359.png
;;2;66,5;3,23606797749979;1,23606797749979;.\augmentedDataset\laplacian_img;0359.png
;;1;693,5;21,78730361432383;1,803948341732281;.\augmentedDataset\laplacian_img;0365.png
;;0;3087,5;5,321869122843981;1,782612980800892;.\augmentedDataset\laplacian_img;0389.png
;;2;859,0;22,446854692766255;1,720179114250007;.\augmentedDataset\laplacian_img;0389.png
;;2;38,0;2,82842712474619;1,732050807568877;.\augmentedDataset\laplacian_img;0414.png
;;0;2025,0;10,029036732791797;1,71936034329358;.\augmentedDataset\laplacian_img;0415.png
;;1;1502,0;11,651239466322563;2,587095541887069;.\augmentedDataset\laplacian_img;0415.png
;;1;13,5;3,464101615137754;1,414213562373095;.\augmentedDataset\laplacian_img;0420.png
;;2;11,0;4,680205767201096;1,046744465787899;.\augmentedDataset\laplacian_img;0420.png
;;0;65,5;4,618802153517006;2,351778943168525;.\augmentedDataset\laplacian_img;0433.png
;;2;9,5;4,34169545110285;1,27658944452507;.\augmentedDataset\laplacian_img;0433.png
;;1;73,5;2,309401076758503;1,333333333333333;.\augmentedDataset\laplacian_img;0435.png
;;0;86,5;4,34169545110285;1,27658944452507;.\augmentedDataset\laplacian_img;0440.png
;;0;384,0;5,890937516001458;2,967668995053057;.\augmentedDataset\laplacian_img;0445.png
;;2;13,5;3,464101615137754;1,414213562373095;.\augmentedDataset\laplacian_img;0445.png
;;0;7,0;3,648665604076859;2,505808461219716;.\augmentedDataset\laplacian_img;0450.png
;;1;5,5;27,61666904972596;6,151600941885309;.\augmentedDataset\laplacian_img;0450.png
;;2;4,0;10,715820823890605;1,79321736404624;.\augmentedDataset\laplacian_img;0451.png
;;0;111,5;4,849661197520208;1,346892572776387;.\augmentedDataset\laplacian_img;0458.png
;;0;58,5;5,839824517576797;3,503062888945748;.\augmentedDataset\laplacian_img;0467.png
;;1;38,5;3,23606797749979;1,23606797749979;.\augmentedDataset\laplacian_img;0467.png
;;1;29,5;4,680205767201096;1,046744465787899;.\augmentedDataset\laplacian_img;0472.png
;;1;177,0;2,309401076758503;1,333333333333333;.\augmentedDataset\laplacian_img;0514.png
;;1;105,0;5,274258481434536;1,946056459258261;.\augmentedDataset\laplacian_img;0537.png
;;0;863,5;9,456115331399554;2,401157285281014;.\augmentedDataset\laplacian_img;0538.png
;;0;13350,5;4,34169545110285;1,27658944452507;.\augmentedDataset\laplacian_img;0560.png
;;1;4985,0;4,582012508956777;4,128677475208524;.\augmentedDataset\laplacian_img;0560.png
;;0;5655,5;17,194169079487963;6,421133051571204;.\augmentedDataset\laplacian_img;0584.png
;;0;404,5;3,677088528342677;0,837402040213009;.\augmentedDataset\log_transform;0018.png
;;1;7,0;5,672452304781605;1,560618386389525;.\augmentedDataset\log_transform;0031.png
;;0;461,0;7,543889200174339;1,767142774857949;.\augmentedDataset\log_transform;0076.png
;;2;8,5;4,993927366567251;1,772659614960501;.\augmentedDataset\log_transform;0090.png
;;0;330,0;4,363338213437162;1,65500979239906;.\augmentedDataset\log_transform;0097.png
;;1;76,5;6,609944996091904;3,584945888738465;.\augmentedDataset\log_transform;0249.png
;;2;56,0;9,303356199504032;3,984721242143225;.\augmentedDataset\log_transform;0249.png
;;1;508,5;5,133805351608393;1,542315301534688;.\augmentedDataset\log_transform;0251.png
;;1;830,5;4,993927366567251;1,772659614960501;.\augmentedDataset\log_transform;0252.png
