Objeto;Classe;n_contorno;Área;Diâmetro;Minor;Imagem
;;0;32,50;7,554371880072024;1,975317619716008;0001.png
;;1;10,50;3,265986323710904;0,000000000000000;0001.png
;;2;9,00;6,606669218274770;2,480068226551033;0001.png
;;0;10,50;4,472135954999580;0,000000000000000;0002.png
;;1;9,50;0,000000000000000;0,000000000000000;0002.png
;;2;5,50;4,472135954999580;0,000000000000000;0002.png
;;0;8651,00;6,052283110938236;1,695889732428958;0003.png
;;1;129,00;0,000000000000000;0,000000000000000;0003.png
;;2;102,50;0,000000000000000;0,000000000000000;0003.png
;;0;8651,50;2,309401076758503;1,333333333333333;0004.png
;;1;135,00;4,680205767201096;1,046744465787899;0004.png
;;2;128,00;9,179476518602309;3,962846577043977;0004.png
;;0;4,50;7,183033368750387;3,206333549912581;0005.png
;;1;4,50;2,000000000000000;0,000000000000000;0005.png
;;2;3,50;5,444424563872507;2,253495322449476;0005.png
;;0;27,50;4,472135954999580;0,000000000000000;0006.png
;;1;6,00;3,265986323710904;0,000000000000000;0006.png
;;2;5,00;5,694095360864592;4,578758906452833;0006.png
;;0;25,50;3,265986323710904;0,000000000000000;0007.png
;;1;21,00;3,236067977499790;1,236067977499790;0007.png
;;2;7,00;10,747248050446096;1,801848867741848;0007.png
;;0;5,50;7,073322178722952;2,960398808750443;0008.png
;;1;4,50;2,000000000000000;0,000000000000000;0008.png
;;2;2,00;0,000000000000000;0,000000000000000;0008.png
;;0;26,00;5,664042473303187;2,449748454171710;0009.png
;;1;5,50;4,472135954999580;0,000000000000000;0009.png
;;2;4,00;8,454128256016611;1,685753545924905;0009.png
;;0;248,50;6,031273328889181;1,467771875029618;0010.png
;;1;206,00;6,410747983365109;1,964939688573319;0010.png
;;2;96,00;4,972652484064487;2,745394340098454;0010.png
;;0;171,50;2,000000000000000;0,000000000000000;0011.png
;;1;95,50;3,236067977499790;1,236067977499790;0011.png
;;2;31,00;13,241187170857517;1,700936368163292;0011.png
;;0;614,00;2,000000000000000;0,000000000000000;0012.png
;;1;246,50;6,000000000000000;1,959591794226542;0012.png
;;2;107,00;6,343898075098332;1,853363756191339;0012.png
;;0;27,50;8,000000000000000;0,000000000000000;0013.png
;;1;13,50;3,265986323710904;0,000000000000000;0013.png
;;2;10,50;5,656854249492381;0,000000000000000;0013.png
;;0;27,00;8,000000000000000;0,000000000000000;0014.png
;;1;15,00;3,464101615137754;1,414213562373095;0014.png
;;2;11,50;2,000000000000000;0,000000000000000;0014.png
;;0;368,00;2,828427124746190;0,000000000000000;0015.png
;;1;238,00;2,000000000000000;0,000000000000000;0015.png
;;2;91,50;3,098386676965933;1,788854381999832;0015.png
;;0;119,50;3,236067977499790;1,236067977499790;0016.png
;;1;115,00;3,265986323710904;0,000000000000000;0016.png
;;2;84,50;3,265986323710904;0,000000000000000;0016.png
;;0;126,50;6,453653545640349;2,825935503227082;0017.png
;;1;111,00;6,521723719229430;1,815015213122856;0017.png
;;2;19,00;25,474156091543584;1,972714053484508;0017.png
;;0;4,00;5,656854249492381;0,000000000000000;0018.png
;;1;3,50;2,000000000000000;0,000000000000000;0018.png
;;2;2,50;4,472135954999580;0,000000000000000;0018.png
;;0;17,50;4,000000000000000;1,632993161855452;0019.png
;;1;6,00;3,265986323710904;0,000000000000000;0019.png
;;2;4,50;3,265986323710904;0,000000000000000;0019.png
;;0;7,00;4,796702691401646;1,764679084109074;0020.png
;;1;2,50;3,265986323710904;0,000000000000000;0020.png
;;2;2,50;4,155374705678736;1,905471133100374;0020.png
;;0;20,00;4,472135954999580;0,000000000000000;0021.png
;;1;7,00;2,828427124746190;0,000000000000000;0021.png
;;2;3,00;2,000000000000000;0,000000000000000;0021.png
;;0;327,00;6,780019934022160;1,305679547981528;0022.png
;;1;210,50;4,093338188813543;1,563516060678838;0022.png
;;2;130,50;0,000000000000000;0,000000000000000;0022.png
;;0;318,50;0,000000000000000;0,000000000000000;0023.png
;;1;120,50;3,265986323710904;0,000000000000000;0023.png
;;2;113,00;7,887165627530472;1,610160974530768;0023.png
;;0;4492,00;4,341695451102850;1,276589444525070;0024.png
;;1;327,50;3,265986323710904;0,000000000000000;0024.png
;;2;122,00;3,126943839882286;2,309401076758503;0024.png
;;0;317,50;0,000000000000000;0,000000000000000;0025.png
;;1;152,50;4,155374705678736;1,905471133100374;0025.png
;;2;118,00;0,000000000000000;0,000000000000000;0025.png
;;0;111,50;3,265986323710904;0,000000000000000;0026.png
;;1;58,50;4,472135954999580;0,000000000000000;0026.png
;;2;28,50;2,309401076758503;1,333333333333333;0026.png
;;0;129,50;0,000000000000000;0,000000000000000;0027.png
;;1;12,50;3,464101615137754;1,414213562373095;0027.png
;;2;10,00;2,000000000000000;2,000000000000000;0027.png
;;0;433,50;4,472135954999580;0,000000000000000;0028.png
;;1;119,00;2,309401076758503;1,333333333333333;0028.png
;;2;81,50;3,464101615137754;1,414213562373095;0028.png
;;0;7,50;4,472135954999580;0,000000000000000;0029.png
;;1;3,00;3,265986323710904;0,000000000000000;0029.png
;;2;0,00;3,265986323710904;0,000000000000000;0029.png
;;0;6,00;4,828427124746190;0,828427124746190;0030.png
;;1;4,00;6,147097018697723;2,678035834089599;0030.png
;;2;3,50;3,236067977499790;1,236067977499790;0030.png
;;0;508,00;3,265986323710904;0,000000000000000;0031.png
;;1;24,50;3,265986323710904;0,000000000000000;0031.png
;;2;10,00;0,000000000000000;0,000000000000000;0031.png
;;0;18,50;3,265986323710904;0,000000000000000;0032.png
;;1;8,00;17,921771112336689;2,372064131584867;0032.png
;;2;3,50;7,396651819900904;2,779755718612094;0032.png
;;0;503,50;3,265986323710904;0,000000000000000;0033.png
;;1;16,50;16,258337629924874;1,851964125148292;0033.png
;;2;11,50;2,000000000000000;0,000000000000000;0033.png
;;0;20,00;7,073322178722952;2,960398808750444;0034.png
;;1;9,50;7,881945154710912;3,664764130702647;0034.png
;;2;3,00;0,000000000000000;0,000000000000000;0034.png
