Classe;n_contorno;Área;Diâmetro;Minor;Diretorio;Imagem
;0;29695,0;15,974866377825617;4,760751550094562;.\originalGrayDataset;0136.png
;1;8982,5;6,342284798713821;2,973565233632895;.\originalGrayDataset;0136.png
;2;3700,5;7,267137657458658;2,761559390552063;.\originalGrayDataset;0136.png
;0;29686,0;8,49159293543007;4,214578496618757;.\originalGrayDataset;0139.png
;1;8985,5;3,098386676965933;1,788854381999832;.\originalGrayDataset;0139.png
;2;2199,0;9,21352520382784;3,718138421095857;.\originalGrayDataset;0139.png
;0;29797,5;6,777647363301493;3,359759815024087;.\originalGrayDataset;0140.png
;1;8989,0;5,720932084886622;2,425387871670981;.\originalGrayDataset;0140.png
;2;2571,5;3,23606797749979;1,23606797749979;.\originalGrayDataset;0140.png
;0;35229,0;8,957064978775534;5,882886809059595;.\originalGrayDataset;0142.png
;1;29607,0;5,706746436461763;2,820240267974089;.\originalGrayDataset;0142.png
;2;3359,0;19,671731150319708;3,212399259105707;.\originalGrayDataset;0142.png
;0;29768,5;5,376796813410203;2,993305616289287;.\originalGrayDataset;0144.png
;1;4138,0;15,010712207529664;4,426037278027047;.\originalGrayDataset;0144.png
;2;2613,5;3,098386676965933;1,788854381999832;.\originalGrayDataset;0144.png
;0;30219,5;6,245171657697639;3,19144653188646;.\originalGrayDataset;0145.png
;1;4605,0;11,726107268788;2,575002859384039;.\originalGrayDataset;0145.png
;2;2649,5;5,768121028401811;3,289022452127339;.\originalGrayDataset;0145.png
;0;35343,0;14,300626956173568;5,465386266197505;.\originalGrayDataset;0147.png
;1;29759,5;7,333225531410493;2,966745874396235;.\originalGrayDataset;0147.png
;2;8299,0;7,333045298379015;3,827891130478597;.\originalGrayDataset;0147.png
;0;35702,5;4,47213595499958;2,0;.\originalGrayDataset;0149.png
;1;29806,0;4,34169545110285;1,27658944452507;.\originalGrayDataset;0149.png
;2;1760,5;8,327896461408185;1,932588400181151;.\originalGrayDataset;0149.png
;0;35896,0;9,017879542943811;3,37806274456727;.\originalGrayDataset;0150.png
;1;29842,5;22,9864909203182;8,176513088325153;.\originalGrayDataset;0150.png
;2;1745,5;6,707279387142534;2,585705437703216;.\originalGrayDataset;0150.png
;0;30322,5;6,410747983365109;1,964939688573319;.\originalGrayDataset;0155.png
;1;5453,5;3,23606797749979;1,23606797749979;.\originalGrayDataset;0155.png
;2;3080,0;5,311578320742263;2,04504216851777;.\originalGrayDataset;0155.png
;0;15309,5;4,0;1,632993161855452;.\originalGrayDataset;0157.png
;1;9030,5;7,681530582435684;2,980432317633497;.\originalGrayDataset;0157.png
;2;3653,0;3,829708431025352;1,885618083164127;.\originalGrayDataset;0157.png
;0;15759,0;5,465863594190293;2,211281815705678;.\originalGrayDataset;0158.png
;1;10517,5;4,0;1,632993161855452;.\originalGrayDataset;0158.png
;2;4256,5;4,09878030638384;2,993325909419153;.\originalGrayDataset;0158.png
;0;13874,0;6,572055792213627;2,829855590667361;.\originalGrayDataset;0159.png
;1;1959,5;6,119368331694076;2,903598154267877;.\originalGrayDataset;0159.png
;2;1570,5;3,582070095417669;2,471345654035171;.\originalGrayDataset;0159.png
;0;15702,0;3,23606797749979;1,23606797749979;.\originalGrayDataset;0162.png
;1;3909,0;8,012416329973814;2,904799951091471;.\originalGrayDataset;0162.png
;2;3779,5;2,309401076758503;1,333333333333333;.\originalGrayDataset;0162.png
;0;14535,0;5,848765012186917;3,661202613844666;.\originalGrayDataset;0164.png
;1;10113,0;5,274258481434536;1,946056459258261;.\originalGrayDataset;0164.png
;2;4113,5;15,832003362508836;4,641877716191169;.\originalGrayDataset;0164.png
;0;14948,5;10,331126843625311;6,568878982147635;.\originalGrayDataset;0166.png
;1;11574,0;8,049406667805528;3,086752330623388;.\originalGrayDataset;0166.png
